names,scores,logfoldchanges,pvals,pvals_adj,pct_agg,pct_ctrl,cell_type
FABP4,-1.7903101,-0.9817739,0.073404061,0.234817852,0.102839192,0.055807045,Unassigned
CD8A,-1.8032978,-1.7682467,0.071341473,0.228878642,0.127437615,0.046470505,Unassigned
PDLIM4,-1.8046026,0.07685606,0.071136885,0.228342256,0.233181199,0.102065356,Unassigned
C1S,-1.8202891,-0.35980865,0.068714977,0.22116182,0.172011143,0.078794738,Unassigned
HLX,-1.8365916,-0.7769081,0.066270211,0.213705938,0.197143026,0.127033527,Unassigned
PYHIN1,-1.8682525,-2.0981047,0.061726879,0.200477035,0.670084761,0.638987127,Unassigned
ARHGAP15,-1.8696173,-2.0213366,0.061536977,0.1999252,0.714006283,0.795091243,Unassigned
COL1A1,-1.8752663,-0.4538488,0.060756097,0.197645079,0.283207871,0.038194936,Unassigned
ENTPD1,-1.8761369,-1.5106616,0.060636485,0.197320161,0.15618517,0.127882303,Unassigned
CA12,-1.9019057,-1.2611101,0.057183497,0.186630212,0.118309525,0.150728533,Unassigned
KCNN2,-1.9105644,-2.3012855,0.056060586,0.183384318,0.482958924,0.190691753,Unassigned
SLC2A3,-1.9181455,-0.5068832,0.055092554,0.180690568,0.273664869,0.038336398,Unassigned
MYO1G,-1.9299237,-1.4523171,0.053616292,0.176427415,0.108588703,0.108431178,Unassigned
HSPA6,-1.9376527,-1.1213479,0.052665613,0.173563679,0.612471104,0.474678172,Unassigned
LACTB,-1.9383501,-0.23638543,0.052580533,0.173418644,0.122399384,0.15681143,Unassigned
PGF,-1.9430494,-0.9046153,0.052010186,0.171784991,0.12180665,0.055736313,Unassigned
CCND2,-1.9682106,-0.7492422,0.049043814,0.163261697,0.102365005,0.022068185,Unassigned
ACADL,-2.009732,-3.1439834,0.044459554,0.149143086,0.311184873,0.320554534,Unassigned
ANKRD44,-2.0130165,-0.7745636,0.044112908,0.148079582,0.180665047,0.158013863,Unassigned
PLA2G7,-2.013627,-2.5291429,0.044048697,0.147963376,0.124236856,0.09400198,Unassigned
